-1 1 1.238564 (0.5797, 29.4798, -3.3480) (-0.0270, -0.1831, -0.0721, -0.9801) (0.2430, 29.9402, -4.0392) (0.2430, 29.9402, -4.0392) 36.27228 -2.653342 93.15192
-1 1 1.260343 (0.5830, 29.4776, -3.3490) (-0.0323, -0.1868, -0.0862, -0.9781) (0.2447, 29.9398, -4.0397) (0.2447, 29.9398, -4.0397) 37.09649 -3.099422 92.81295
-1 1 1.285196 (0.5870, 29.4748, -3.3498) (-0.0404, -0.1963, -0.0976, -0.9748) (0.2466, 29.9392, -4.0403) (0.2466, 29.9392, -4.0403) 39.05388 -4.047627 91.96919
-1 1 1.30693 (0.5912, 29.4722, -3.3514) (-0.0468, -0.2006, -0.0976, -0.9737) (0.2483, 29.9387, -4.0408) (0.2483, 29.9387, -4.0408) 39.96666 -5.192683 91.51859
-1 1 1.329112 (0.5948, 29.4691, -3.3537) (-0.0556, -0.1980, -0.0990, -0.9736) (0.2500, 29.9379, -4.0417) (0.2500, 29.9379, -4.0417) 39.65239 -6.910333 91.54198
-1 1 1.351977 (0.5981, 29.4656, -3.3568) (-0.0602, -0.2001, -0.1034, -0.9724) (0.2515, 29.9367, -4.0431) (0.2515, 29.9367, -4.0431) 40.16499 -7.57053 91.26587
-1 1 1.38568 (0.6019, 29.4609, -3.3622) (-0.0664, -0.2008, -0.1123, -0.9709) (0.2535, 29.9351, -4.0455) (0.2535, 29.9351, -4.0455) 40.47987 -8.3763 91.05612
-1 1 1.431942 (0.6041, 29.4593, -3.3693) (-0.0587, -0.1891, -0.1053, -0.9745) (0.2551, 29.9345, -4.0482) (0.2551, 29.9345, -4.0482) 38.08929 -7.451935 92.16113
-1 1 1.46671 (0.6047, 29.4590, -3.3811) (-0.0392, -0.1633, -0.0935, -0.9814) (0.2570, 29.9340, -4.0526) (0.2570, 29.9340, -4.0526) 32.77994 -4.638892 94.36078
-1 1 1.499657 (0.6041, 29.4601, -3.3911) (-0.0353, -0.1461, -0.0830, -0.9851) (0.2579, 29.9344, -4.0560) (0.2579, 29.9344, -4.0560) 29.38189 -4.532669 95.47858
