Fitts Law Experiment
Subject T: BcaD
FOV: 87.95473
Width: 1920
Height: 1080
XRHieght: 1600
XRWidth: 1344
Target# Filter? Time Touch Pos Touch Rot Head Pos Head Rot xfilter yfilter zfilter
7 1 28.74067 (0.9751, 29.3412, -4.8598) (-0.0624, 0.0878, 0.3225, 0.9404) (0.4252, 29.9398, -4.8074) (-0.0741, 0.0104, -0.0028, -0.9972) 12.27001 17.43535 97.68142
8 1 29.55187 (0.9074, 29.3716, -4.9025) (-0.2053, -0.1003, 0.3326, 0.9150) (0.4242, 29.9409, -4.8202) (-0.0641, 0.0272, -0.0078, -0.9975) -31.62189 30.90379 89.55617
9 1 30.24114 (1.0174, 29.3919, -4.8581) (-0.1191, 0.1488, 0.3102, 0.9314) (0.4339, 29.9407, -4.8178) (-0.0662, 0.0031, 0.0044, -0.9978) 20.41787 31.69245 92.73697
10 1 31.24072 (0.9125, 29.3658, -4.8952) (-0.1005, -0.0891, 0.3415, 0.9302) (0.4256, 29.9408, -4.8202) (-0.0640, 0.0216, -0.0050, -0.9977) -23.35523 12.78711 96.3926
11 1 31.95199 (0.9913, 29.4598, -4.8638) (-0.2172, 0.1387, 0.2982, 0.9190) (0.4282, 29.9419, -4.8208) (-0.0585, 0.0134, -0.0036, -0.9982) 12.5701 48.45333 86.71731
12 1 32.74081 (0.9514, 29.3480, -4.8803) (-0.0242, -0.0092, 0.3551, 0.9345) (0.4288, 29.9402, -4.8187) (-0.0685, 0.0163, -0.0023, -0.9975) -3.128258 4.296824 99.86573
13 1 33.41858 (0.9448, 29.4765, -4.8867) (-0.2874, 0.0663, 0.2922, 0.9098) (0.4275, 29.9414, -4.8203) (-0.0591, 0.0199, -0.0040, -0.9980) -4.240158 55.93887 82.60268
14 1 34.20767 (0.9762, 29.3547, -4.8563) (-0.0364, 0.0881, 0.3666, 0.9255) (0.4234, 29.9396, -4.8132) (-0.0700, 0.0194, -0.0073, -0.9973) 13.89275 13.41485 98.18304
15 1 34.8521 (0.9013, 29.4525, -4.8842) (-0.2770, -0.0218, 0.3147, 0.9076) (0.4244, 29.9413, -4.8139) (-0.0606, 0.0312, -0.0050, -0.9977) -21.60443 48.695 84.56277
0 1 35.57452 (1.0094, 29.4200, -4.8596) (-0.1123, 0.1539, 0.3374, 0.9219) (0.4249, 29.9409, -4.8146) (-0.0589, -0.0028, -0.0003, -0.9983) 20.80257 31.1011 92.74031
1 1 36.20794 (0.8778, 29.4290, -4.9237) (-0.2118, -0.0971, 0.3077, 0.9225) (0.4094, 29.9389, -4.8255) (-0.0522, 0.0741, -0.0113, -0.9958) -30.26115 33.50348 89.14259
2 1 37.36337 (0.9768, 29.4522, -4.8748) (-0.2268, 0.1305, 0.3079, 0.9147) (0.4228, 29.9401, -4.8131) (-0.0534, 0.0064, -0.0003, -0.9986) 10.25095 49.36109 86.30478
3 1 38.11887 (0.9097, 29.3872, -4.9021) (-0.1167, -0.0861, 0.3519, 0.9247) (0.4181, 29.9393, -4.8115) (-0.0599, 0.0280, -0.0061, -0.9978) -23.56401 15.73911 95.78987
4 1 38.89676 (0.9402, 29.4456, -4.8792) (-0.2786, 0.0734, 0.3069, 0.9071) (0.4143, 29.9398, -4.8084) (-0.0561, 0.0225, -0.0096, -0.9981) -3.349494 55.00019 83.40078
5 1 39.64103 (0.9422, 29.3622, -4.8732) (-0.0535, -0.0200, 0.3804, 0.9231) (0.4137, 29.9382, -4.8052) (-0.0674, 0.0197, -0.0094, -0.9975) -7.452056 8.390253 99.34669
6 1 40.54118 (0.9270, 29.4202, -4.9000) (-0.2812, -0.0136, 0.3224, 0.9038) (0.4173, 29.9398, -4.8162) (-0.0543, 0.0268, -0.0071, -0.9981) -20.36595 49.86782 84.14634
7 1 41.2412 (0.9884, 29.3599, -4.8652) (-0.0383, 0.0856, 0.3712, 0.9238) (0.4184, 29.9383, -4.8059) (-0.0666, 0.0052, -0.0044, -0.9978) 13.36644 14.28244 98.24079
