Fitts Law Experiment
Subject T: BcaD
FOV: 87.95473
Width: 1920
Height: 1080
XRHieght: 1600
XRWidth: 1344
Target# Filter? Time Touch Pos Touch Rot Head Pos Head Rot xfilter yfilter zfilter
7 1 19.8272 (0.0597, 29.6577, -4.5383) (0.0775, -0.0823, -0.2098, -0.9712) (-0.0469, 30.0248, -4.5881) (0.0640, -0.0015, 0.0218, 0.9977) 12.55963 18.60078 97.4425
8 1 20.63834 (0.0083, 29.6839, -4.5640) (0.1747, 0.0745, -0.1585, -0.9689) (-0.0497, 30.0244, -4.5913) (0.0659, -0.0065, 0.0244, 0.9975) -19.5024 31.49434 92.78695
9 1 21.28283 (0.0591, 29.6840, -4.5523) (0.1352, -0.1190, -0.2042, -0.9622) (-0.0482, 30.0244, -4.5931) (0.0674, 0.0003, 0.0248, 0.9974) 17.24653 31.31188 93.51212
10 1 21.93844 (0.0164, 29.6612, -4.5502) (0.1029, 0.0477, -0.2105, -0.9710) (-0.0471, 30.0235, -4.5864) (0.0726, -0.0049, 0.0252, 0.9970) -12.845 17.5713 97.4272
11 1 22.51623 (0.0396, 29.6986, -4.5473) (0.2212, -0.1050, -0.1781, -0.9531) (-0.0496, 30.0236, -4.5820) (0.0709, -0.0049, 0.0267, 0.9971) 12.13103 46.27666 88.01136
12 1 23.18297 (0.0389, 29.6447, -4.5310) (0.0537, -0.0144, -0.2084, -0.9765) (-0.0472, 30.0223, -4.5714) (0.0783, 0.0003, 0.0242, 0.9966) 1.274753 11.23941 99.38181
13 1 23.83837 (0.0284, 29.6901, -4.5410) (0.2440, -0.0428, -0.1760, -0.9527) (-0.0504, 30.0227, -4.5704) (0.0762, -0.0021, 0.0261, 0.9968) -0.2278753 47.79418 87.72643
14 1 24.41631 (0.0560, 29.6448, -4.5400) (0.0625, -0.0875, -0.2030, -0.9733) (-0.0474, 30.0229, -4.5794) (0.0755, 0.0031, 0.0233, 0.9969) 14.50629 15.70809 97.68793
15 1 25.08306 (0.0142, 29.6856, -4.5770) (0.2300, 0.0146, -0.1878, -0.9548) (-0.0496, 30.0249, -4.5908) (0.0659, -0.0075, 0.0241, 0.9975) -10.6081 43.75609 89.37297
0 1 25.77218 (0.0576, 29.6728, -4.5676) (0.1372, -0.1237, -0.1904, -0.9642) (-0.0482, 30.0246, -4.5946) (0.0701, 0.0014, 0.0213, 0.9973) 18.72078 31.28633 93.1731
1 1 26.54973 (0.0066, 29.6807, -4.5820) (0.1706, 0.0707, -0.1509, -0.9711) (-0.0512, 30.0239, -4.5950) (0.0735, -0.0103, 0.0259, 0.9969) -18.76105 30.44849 93.17817
2 1 27.31639 (0.0441, 29.6960, -4.5797) (0.2194, -0.1034, -0.1602, -0.9568) (-0.0504, 30.0247, -4.5975) (0.0678, -0.0033, 0.0240, 0.9974) 12.48915 45.56825 88.23485
3 1 28.06088 (0.0205, 29.6650, -4.5817) (0.1044, 0.0482, -0.1825, -0.9765) (-0.0487, 30.0239, -4.5971) (0.0731, -0.0077, 0.0239, 0.9970) -13.223 17.65145 97.35556
4 1 28.9278 (0.0269, 29.7086, -4.5859) (0.2527, -0.0395, -0.1640, -0.9527) (-0.0516, 30.0246, -4.5964) (0.0673, -0.0082, 0.0248, 0.9974) -0.6654086 50.02217 86.91167
5 1 29.71652 (0.0412, 29.6408, -4.5684) (0.0450, -0.0056, -0.2024, -0.9783) (-0.0485, 30.0232, -4.5922) (0.0769, 0.0005, 0.0208, 0.9968) -0.3963495 9.25561 99.5879
6 1 30.51608 (0.0154, 29.6931, -4.5811) (0.2402, 0.0351, -0.1641, -0.9561) (-0.0516, 30.0243, -4.5925) (0.0682, -0.0097, 0.0263, 0.9973) -14.01671 44.54699 88.21443
