-1 1 0.3800365 (0.4190, 29.8404, -3.8946) (-0.8553, -0.0992, 0.3932, 0.3225) (0.1708, 29.9505, -4.2365) (0.1708, 29.9505, -4.2365) -73.67056 47.65307 -48.2844
-1 1 0.3910275 (0.4197, 29.8418, -3.8960) (-0.8568, -0.0995, 0.3903, 0.3221) (0.1709, 29.9510, -4.2368) (0.1709, 29.9510, -4.2368) -73.40343 47.65016 -48.78566
-1 1 0.4025123 (0.4209, 29.8429, -3.8974) (-0.8591, -0.1000, 0.3866, 0.3203) (0.1712, 29.9514, -4.2371) (0.1712, 29.9514, -4.2371) -73.04849 47.52316 -49.59851
-1 1 0.4135593 (0.4224, 29.8443, -3.8989) (-0.8605, -0.1007, 0.3852, 0.3179) (0.1716, 29.9518, -4.2376) (0.1716, 29.9518, -4.2376) -72.785 47.0476 -50.11481
-1 1 0.4245849 (0.4240, 29.8462, -3.8998) (-0.8604, -0.0983, 0.3882, 0.3153) (0.1721, 29.9524, -4.2382) (0.1721, 29.9524, -4.2382) -72.99263 46.67123 -49.98161
-1 1 0.4356121 (0.4249, 29.8478, -3.9005) (-0.8593, -0.0873, 0.3948, 0.3133) (0.1724, 29.9528, -4.2387) (0.1724, 29.9528, -4.2387) -73.29061 46.97761 -49.19482
-1 1 0.4472187 (0.4253, 29.8491, -3.9019) (-0.8600, -0.0798, 0.3975, 0.3100) (0.1723, 29.9533, -4.2394) (0.1723, 29.9533, -4.2394) -73.30695 47.07305 -49.18368
-1 1 0.4576346 (0.4255, 29.8501, -3.9032) (-0.8597, -0.0745, 0.4035, 0.3041) (0.1723, 29.9537, -4.2401) (0.1723, 29.9537, -4.2401) -73.81567 46.39948 -48.94363
-1 1 0.4685504 (0.4258, 29.8505, -3.9044) (-0.8565, -0.0741, 0.4130, 0.3007) (0.1721, 29.9538, -4.2408) (0.1721, 29.9538, -4.2408) -75.08154 45.48105 -47.80235
-1 1 0.4797847 (0.4261, 29.8507, -3.9065) (-0.8538, -0.0792, 0.4188, 0.2990) (0.1720, 29.9539, -4.2415) (0.1720, 29.9539, -4.2415) -76.19038 44.46951 -47.042
-1 1 0.4907909 (0.4265, 29.8509, -3.9085) (-0.8538, -0.0837, 0.4203, 0.2954) (0.1720, 29.9538, -4.2423) (0.1720, 29.9538, -4.2423) -76.70882 43.42916 -47.21297
-1 1 0.5021873 (0.4265, 29.8515, -3.9100) (-0.8548, -0.0850, 0.4199, 0.2927) (0.1719, 29.9539, -4.2432) (0.1719, 29.9539, -4.2432) -76.70057 43.02111 -47.59532
-1 1 0.5134434 (0.4262, 29.8521, -3.9110) (-0.8556, -0.0818, 0.4195, 0.2922) (0.1719, 29.9539, -4.2441) (0.1719, 29.9539, -4.2441) -76.18772 43.65607 -47.73906
-1 1 0.5242841 (0.4258, 29.8530, -3.9121) (-0.8563, -0.0803, 0.4185, 0.2918) (0.1717, 29.9542, -4.2450) (0.1717, 29.9542, -4.2450) -75.6657 44.26505 -47.94114
-1 1 0.5356874 (0.4252, 29.8539, -3.9132) (-0.8573, -0.0816, 0.4150, 0.2936) (0.1716, 29.9546, -4.2457) (0.1716, 29.9546, -4.2457) -75.55283 44.27719 -48.31293
-1 1 0.5472608 (0.4248, 29.8548, -3.9143) (-0.8577, -0.0823, 0.4127, 0.2955) (0.1715, 29.9551, -4.2464) (0.1715, 29.9551, -4.2464) -75.45192 44.3428 -48.47692
-1 1 0.5580478 (0.4241, 29.8556, -3.9158) (-0.8584, -0.0827, 0.4086, 0.2990) (0.1713, 29.9554, -4.2470) (0.1713, 29.9554, -4.2470) -74.96796 45.01505 -48.72894
-1 1 0.5690529 (0.4233, 29.8564, -3.9171) (-0.8592, -0.0828, 0.4057, 0.3004) (0.1712, 29.9559, -4.2477) (0.1712, 29.9559, -4.2477) -74.90047 45.0211 -49.02835
-1 1 0.5806519 (0.4226, 29.8572, -3.9181) (-0.8590, -0.0843, 0.4042, 0.3026) (0.1710, 29.9563, -4.2483) (0.1710, 29.9563, -4.2483) -74.86344 45.03196 -49.00845
-1 1 0.5914481 (0.4222, 29.8581, -3.9188) (-0.8582, -0.0848, 0.4039, 0.3054) (0.1708, 29.9567, -4.2489) (0.1708, 29.9567, -4.2489) -74.84682 45.08358 -48.72588
-1 1 0.6022332 (0.4218, 29.8593, -3.9191) (-0.8582, -0.0817, 0.4041, 0.3058) (0.1707, 29.9571, -4.2495) (0.1707, 29.9571, -4.2495) -74.82305 45.14285 -48.63591
-1 1 0.6135505 (0.4213, 29.8602, -3.9196) (-0.8603, -0.0764, 0.4025, 0.3034) (0.1706, 29.9573, -4.2500) (0.1706, 29.9573, -4.2500) -74.73096 45.18757 -49.20084
-1 1 0.6245422 (0.4212, 29.8608, -3.9204) (-0.8618, -0.0746, 0.4013, 0.3011) (0.1707, 29.9575, -4.2507) (0.1707, 29.9575, -4.2507) -74.66847 45.17743 -49.65879
-1 1 0.6359454 (0.4212, 29.8613, -3.9213) (-0.8607, -0.0765, 0.4039, 0.3001) (0.1707, 29.9579, -4.2512) (0.1707, 29.9579, -4.2512) -74.74136 45.09762 -49.34893
-1 1 0.6468049 (0.4214, 29.8619, -3.9225) (-0.8608, -0.0799, 0.4040, 0.2990) (0.1706, 29.9582, -4.2516) (0.1706, 29.9582, -4.2516) -74.7888 44.96254 -49.46806
-1 1 0.6581677 (0.4217, 29.8628, -3.9235) (-0.8627, -0.0796, 0.4024, 0.2959) (0.1705, 29.9586, -4.2520) (0.1705, 29.9586, -4.2520) -74.76176 44.81192 -50.11006
-1 1 0.669239 (0.4217, 29.8640, -3.9238) (-0.8635, -0.0726, 0.4036, 0.2935) (0.1704, 29.9590, -4.2524) (0.1704, 29.9590, -4.2524) -74.71109 44.78329 -50.18293
-1 1 0.6804419 (0.4219, 29.8648, -3.9244) (-0.8633, -0.0679, 0.4051, 0.2932) (0.1704, 29.9595, -4.2527) (0.1704, 29.9595, -4.2527) -74.63733 44.82767 -49.99079
-1 1 0.691374 (0.4224, 29.8653, -3.9256) (-0.8627, -0.0716, 0.4043, 0.2953) (0.1704, 29.9599, -4.2531) (0.1704, 29.9599, -4.2531) -74.56019 44.86516 -49.86211
