Fitts Law Experiment
Subject N: CABD
FOV: 87.95474
Width: 1920
Height: 1080
XRHieght: 1600
XRWidth: 1344
Target# Filter? Time Touch Pos Touch Rot Head Pos Head Rot xfilter yfilter zfilter
7 1 31.06409 (0.3320, 29.4986, -3.6211) (-0.0292, 0.1226, -0.0210, 0.9918) (0.1179, 29.9792, -4.2123) (-0.0259, -0.0254, 0.0064, -0.9993) 24.77486 6.347664 96.82372
8 1 31.84175 (0.1834, 29.5740, -3.6983) (-0.1654, -0.1798, -0.0110, 0.9696) (0.1087, 29.9816, -4.2174) (-0.0100, 0.0453, -0.0057, -0.9989) -34.45145 31.95777 88.05992
9 1 33.57509 (0.3563, 29.5753, -3.6420) (-0.1632, 0.1668, -0.0074, 0.9724) (0.1228, 29.9802, -4.2144) (-0.0217, -0.0609, 0.0084, -0.9979) 32.23153 31.3372 89.10707
10 1 34.31975 (0.2083, 29.5211, -3.6786) (-0.0385, -0.1361, 0.0135, 0.9899) (0.1102, 29.9791, -4.2172) (-0.0264, 0.0280, -0.0028, -0.9993) -26.43394 7.31699 96.00214
11 1 35.14185 (0.3186, 29.6454, -3.6854) (-0.2789, 0.1064, 0.0119, 0.9543) (0.1184, 29.9807, -4.2313) (-0.0138, -0.0302, 0.0097, -0.9994) 20.00857 53.259 82.18113
12 1 36.03073 (0.2731, 29.4822, -3.6533) (0.0306, -0.0052, -0.0180, 0.9994) (0.1165, 29.9785, -4.2204) (-0.0281, -0.0085, 0.0041, -0.9996) -1.147053 -5.627279 99.80733
13 1 36.83056 (0.2660, 29.6644, -3.7212) (-0.3289, -0.0182, -0.0061, 0.9442) (0.1165, 29.9812, -4.2300) (-0.0075, 0.0002, 0.0039, -1.0000) -2.204569 61.85585 78.29807
14 1 38.30853 (0.3313, 29.5040, -3.6356) (-0.0348, 0.1235, 0.0026, 0.9917) (0.1165, 29.9794, -4.2191) (-0.0219, -0.0142, 0.0018, -0.9997) 24.34539 6.983771 96.70751
15 1 39.07543 (0.2155, 29.6310, -3.7229) (-0.2856, -0.1225, 0.0049, 0.9505) (0.1108, 29.9820, -4.2309) (-0.0022, 0.0321, 0.0005, -0.9995) -23.61034 53.76468 80.68836
0 1 39.82008 (0.3652, 29.5760, -3.6586) (-0.1696, 0.1713, 0.0276, 0.9701) (0.1146, 29.9811, -4.2259) (-0.0078, -0.0123, 0.0072, -0.9999) 31.91643 33.65691 88.38027
1 1 40.70845 (0.1891, 29.5798, -3.7044) (-0.1698, -0.1773, 0.0142, 0.9693) (0.1104, 29.9810, -4.2210) (-0.0058, 0.0260, -0.0038, -0.9996) -34.31028 32.3836 87.94504
2 1 41.4309 (0.3142, 29.6496, -3.6637) (-0.2803, 0.1088, 0.0076, 0.9537) (0.1089, 29.9824, -4.2216) (-0.0002, -0.0014, 0.0011, -1.0000) 20.75849 53.99275 81.92077
3 1 42.26434 (0.2039, 29.5126, -3.6659) (-0.0469, -0.1320, 0.0412, 0.9893) (0.1073, 29.9799, -4.2073) (-0.0180, 0.0320, -0.0046, -0.9993) -26.52329 8.913944 96.07325
4 1 43.11952 (0.2507, 29.6524, -3.6785) (-0.3238, 0.0042, 0.0327, 0.9456) (0.1090, 29.9815, -4.2152) (-0.0054, 0.0249, -0.0019, -0.9997) -0.6196699 60.94121 79.03251
5 1 43.96431 (0.2545, 29.4733, -3.6396) (0.0181, -0.0057, 0.0398, 0.9990) (0.1088, 29.9793, -4.2106) (-0.0229, 0.0203, -0.0024, -0.9995) -1.330591 -4.035258 99.92827
6 1 44.74255 (0.2029, 29.6359, -3.7135) (-0.2833, -0.1167, 0.0167, 0.9517) (0.1081, 29.9809, -4.2260) (-0.0057, 0.0306, -0.0061, -0.9995) -23.05846 53.55082 81.22059
7 1 45.60902 (0.3421, 29.4902, -3.6410) (-0.0245, 0.1223, 0.0506, 0.9909) (0.1117, 29.9802, -4.2254) (-0.0130, 0.0097, -0.0023, -0.9999) 23.88116 6.802588 96.88643
8 1 46.36469 (0.1714, 29.5759, -3.7098) (-0.1715, -0.1744, 0.0348, 0.9690) (0.1054, 29.9801, -4.2243) (-0.0131, 0.0301, -0.0107, -0.9994) -34.88173 31.47164 88.03734
9 1 47.176 (0.3596, 29.5810, -3.6473) (-0.1655, 0.1702, 0.0295, 0.9710) (0.1124, 29.9797, -4.2203) (-0.0165, -0.0153, 0.0030, -0.9997) 31.61859 32.91181 88.73131
10 1 47.88706 (0.1923, 29.5137, -3.6810) (-0.0451, -0.1417, 0.0370, 0.9882) (0.1053, 29.9803, -4.2168) (-0.0035, 0.0202, -0.0089, -0.9997) -28.03245 7.807002 95.57717
11 1 48.69825 (0.3166, 29.6495, -3.6627) (-0.2710, 0.1187, 0.0288, 0.9548) (0.1115, 29.9834, -4.2229) (0.0182, -0.0108, 0.0046, -0.9998) 21.29708 52.89177 82.49158
12 1 49.40933 (0.2650, 29.4617, -3.6512) (0.0238, -0.0073, 0.0520, 0.9983) (0.1115, 29.9800, -4.2136) (-0.0083, 0.0020, -0.0022, -1.0000) -1.634481 -4.3368 99.87578
13 1 50.16482 (0.2634, 29.6597, -3.6899) (-0.3197, 0.0031, 0.0312, 0.9470) (0.1122, 29.9811, -4.2201) (0.0060, 0.0062, -0.0011, -1.0000) -0.6863913 60.7179 79.5625
14 1 50.96494 (0.3423, 29.4923, -3.6319) (-0.0291, 0.1288, 0.0534, 0.9898) (0.1152, 29.9799, -4.2202) (-0.0033, -0.0032, 0.0035, -1.0000) 24.84263 7.250317 96.51495
15 1 51.82064 (0.2078, 29.6393, -3.7164) (-0.2870, -0.1096, 0.0311, 0.9511) (0.1110, 29.9804, -4.2285) (0.0040, 0.0186, -0.0042, -0.9998) -23.19869 54.73736 81.12462
