Fitts Law Experiment
Subject N: CABD
FOV: 87.95474
Width: 1920
Height: 1080
XRHieght: 1600
XRWidth: 1344
Target# Filter? Time Touch Pos Touch Rot Head Pos Head Rot xfilter yfilter zfilter
1 1 19.71724 (0.2, 28.9, -3.4) (0.2, 0.2, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -28.81657 35.65162 88.87394
2 1 20.23938 (0.2, 29.0, -3.4) (0.3, -0.1, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 18.2845 53.07126 82.7607
3 1 20.75073 (0.2, 28.9, -3.4) (0.1, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -21.81277 13.15618 96.70119
4 1 21.25062 (0.2, 29.0, -3.5) (0.3, 0.0, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 0.1877204 60.20326 79.85445
5 1 21.7952 (0.2, 28.9, -3.4) (0.0, 0.0, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -0.7201102 5.542481 99.84323
6 1 22.32862 (0.2, 29.0, -3.5) (0.3, 0.1, 0.0, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -17.76808 52.14454 83.33759
7 1 22.83957 (0.3, 28.9, -3.4) (0.1, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 18.21507 14.66105 97.2279
8 0 23.35087 (0.2, 28.9, -3.4) (0.2, 0.2, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -28.48542 35.1461 89.18146
9 0 23.79529 (0.3, 28.9, -3.4) (0.2, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 27.05848 34.28587 89.95731
10 0 24.26194 (0.2, 28.9, -3.4) (0.1, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -20.33402 13.15423 97.02316
11 0 25.8065 (0.2, 29.0, -3.4) (0.3, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 17.78 54.08356 82.21217
12 0 26.30669 (0.2, 28.9, -3.4) (0.0, 0.0, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 0.4712187 5.758672 99.83294
13 0 26.71758 (0.2, 29.0, -3.5) (0.3, 0.0, 0.0, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -1.594954 61.09339 79.1521
14 0 27.14009 (0.3, 28.9, -3.4) (0.1, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 18.75051 13.30192 97.32152
15 0 27.56214 (0.2, 29.0, -3.5) (0.3, 0.1, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -18.79535 55.13715 81.28118
0 0 28.26224 (0.3, 28.9, -3.4) (0.2, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 24.99629 37.35548 89.32947
1 0 28.71775 (0.2, 28.9, -3.4) (0.2, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -26.73106 37.20177 88.89026
2 0 29.14096 (0.2, 29.0, -3.4) (0.3, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 17.17148 51.89808 83.73607
3 0 29.58426 (0.2, 28.9, -3.4) (0.1, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -22.67209 14.9269 96.24533
4 0 30.17359 (0.2, 29.0, -3.5) (0.3, 0.0, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -0.7495798 58.81155 80.87422
5 0 30.65117 (0.2, 28.9, -3.4) (0.0, 0.0, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -1.720647 7.385788 99.71204
6 0 31.19568 (0.2, 29.0, -3.5) (0.3, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -17.80308 54.36546 82.02102
7 0 31.73999 (0.3, 28.9, -3.4) (0.1, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 18.85171 15.27964 97.01106
8 0 32.60691 (0.2, 28.9, -3.4) (0.2, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -26.36913 35.39281 89.73304
9 0 33.17365 (0.3, 28.9, -3.4) (0.2, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 28.2978 35.0702 89.27103
10 0 33.66241 (0.2, 28.9, -3.4) (0.1, 0.1, 0.0, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -21.16783 16.5755 96.3181
11 0 34.2847 (0.2, 29.0, -3.4) (0.3, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 17.33311 53.11264 82.93739
12 0 35.14024 (0.2, 28.9, -3.4) (0.0, 0.0, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -1.113001 7.220896 99.73274
13 0 35.65158 (0.2, 29.0, -3.5) (0.3, 0.0, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -1.813357 58.93245 80.76929
14 0 36.31818 (0.3, 28.9, -3.4) (0.1, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 18.66412 14.4121 97.17995
15 0 36.8516 (0.2, 29.0, -3.5) (0.3, 0.1, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -20.6152 52.60604 82.50829
0 0 37.51829 (0.3, 29.0, -3.4) (0.2, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 26.88872 35.18046 89.66232
1 0 38.01821 (0.2, 29.0, -3.5) (0.2, 0.2, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -27.15251 36.50667 89.05057
2 0 38.51822 (0.3, 29.0, -3.4) (0.3, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 16.04182 53.31816 83.06523
3 0 39.02925 (0.2, 28.9, -3.4) (0.1, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -22.01232 17.40673 95.98158
4 0 39.52921 (0.2, 29.0, -3.5) (0.3, 0.0, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -0.1871131 59.25102 80.55608
5 0 40.04031 (0.2, 28.9, -3.4) (0.0, 0.0, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -0.7054139 6.977664 99.75377
6 0 40.50723 (0.2, 29.0, -3.5) (0.3, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -19.52206 52.44049 82.87874
7 0 41.05185 (0.3, 28.9, -3.4) (0.1, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 19.54485 17.35378 96.5238
8 0 41.56272 (0.2, 28.9, -3.5) (0.2, 0.2, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -29.34693 36.05737 88.53601
9 0 42.04057 (0.3, 28.9, -3.4) (0.2, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 24.85317 35.06328 90.29333
10 0 42.50746 (0.2, 28.9, -3.4) (0.1, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -19.97718 14.56567 96.89558
11 0 42.99647 (0.3, 29.0, -3.4) (0.3, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 16.26133 53.20816 83.09309
12 0 43.4741 (0.2, 28.9, -3.4) (0.0, 0.0, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 0.3381119 6.348586 99.7977
13 0 43.99651 (0.2, 29.0, -3.5) (0.3, 0.0, 0.0, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -0.6746771 59.09514 80.6679
14 0 44.47466 (0.3, 28.9, -3.4) (0.1, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.33184 14.58915 96.81824
15 0 44.95203 (0.2, 29.0, -3.5) (0.3, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -21.03188 52.02388 82.77184
