-1 1 0.4666469 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -7.44541 19.78831 97.62685
-1 1 0.4772403 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.768328 20.40091 97.62325
-1 1 0.4884599 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.452715 20.49615 97.63483
-1 1 0.4992576 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.210263 20.49666 97.66405
-1 1 0.5106503 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.50875 20.19241 97.69777
-1 1 0.5215183 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.359247 20.2266 97.71335
-1 1 0.532925 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.25482 20.21622 97.73991
-1 1 0.543754 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.161222 20.1808 97.77047
-1 1 0.555279 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.077639 20.0984 97.81483
-1 1 0.5675027 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.021401 20.02408 97.84422
-1 1 0.5771766 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.938359 19.96604 97.86667
-1 1 0.5885079 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.827753 19.91946 97.88596
-1 1 0.599479 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.723038 19.89116 97.89539
-1 1 0.6107181 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.940109 20.01823 97.89751
-1 1 0.6217007 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.796838 20.0056 97.91284
-1 1 0.6330955 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.628441 19.99119 97.92799
-1 1 0.6442131 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.463111 19.97594 97.93578
-1 1 0.6551956 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.302607 19.96653 97.93207
-1 1 0.6666079 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.155746 19.96059 97.92226
-1 1 0.6773323 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.018528 19.95482 97.91225
-1 1 0.6886783 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -4.877518 19.95561 97.89986
-1 1 0.6999167 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -4.748738 19.95749 97.88953
-1 1 0.7109737 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -4.628273 19.97095 97.87374
-1 1 0.7219554 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -4.495069 20.02399 97.8325
-1 1 0.7331848 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -4.361643 20.14812 97.73865
-1 1 0.7443227 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -4.244143 20.2779 97.66816
-1 1 0.7558637 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -3.723821 20.8721 97.59159
-1 1 0.7667739 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -3.676188 21.23053 97.46497
-1 1 0.7790856 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -3.570755 21.2418 97.52893
-1 1 0.7889502 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -3.554593 21.29188 97.54127
-1 1 0.7998033 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -3.511817 21.39306 97.52348
-1 1 0.8110271 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -3.427248 21.4502 97.53069
-1 1 0.8221658 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -3.391789 21.52658 97.51978
-1 1 0.8334018 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -3.250996 21.68826 97.47421
-1 1 0.8446148 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -3.01786 21.89375 97.41822
-1 1 0.8557173 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -2.370939 22.53372 97.33519
-1 1 0.8667962 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -1.88048 22.82833 97.2698
-1 1 0.8777519 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -1.412119 23.05661 97.22367
-1 1 0.8894567 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -0.5634602 23.44643 97.18391
-1 1 0.9000375 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 0.04480965 23.69984 97.12071
-1 1 0.9112501 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 0.8994633 23.97081 97.06897
-1 1 0.9221696 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 1.567238 24.04503 97.04395
-1 1 0.9335485 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 2.201426 24.11251 97.01559
-1 1 0.9449493 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 2.635191 23.50802 97.16357
-1 1 0.9559592 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 3.328831 24.07815 96.98891
-1 1 0.9670257 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 4.096954 24.48188 96.86337
-1 1 0.9779663 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 4.947829 24.581 96.79956
-1 1 0.9893247 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 5.906889 24.70963 96.71632
-1 1 1.000277 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 6.767407 24.92743 96.60596
-1 1 1.011498 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 7.642362 25.09957 96.49638
-1 1 1.022629 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 8.527598 25.22399 96.38986
-1 1 1.03381 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 9.377008 25.32239 96.28519
-1 1 1.044807 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 10.17971 25.39617 96.18418
-1 1 1.056054 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 11.01685 25.49559 96.06559
-1 1 1.067224 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 12.08006 25.64535 95.89778
-1 1 1.078494 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 13.14122 25.92028 95.68407
-1 1 1.089488 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 14.04576 26.07988 95.51205
-1 1 1.100522 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 14.86707 26.28476 95.33142
-1 1 1.111846 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 15.56462 26.6547 95.11712
-1 1 1.122717 (0.2, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 16.16866 27.06305 94.9008
-1 1 1.134203 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 16.79419 27.45053 94.68063
-1 1 1.145028 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 17.24186 28.08875 94.4126
-1 1 1.15621 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 17.50728 28.98672 94.09179
-1 1 1.167342 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 17.76081 29.62256 93.84592
-1 1 1.178477 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 18.11373 29.71789 93.74828
-1 1 1.189633 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 18.55771 29.57392 93.70695
-1 1 1.200697 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 19.17256 29.17609 93.70789
-1 1 1.211842 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 19.7497 29.10073 93.61139
-1 1 1.222907 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.15772 29.30057 93.46191
-1 1 1.234118 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.36731 30.39015 93.06773
0 1 1.245393 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.45648 29.97196 93.1838
0 1 1.25859 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.47382 29.7747 93.24335
0 1 1.267556 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.44115 30.19244 93.11546
0 1 1.278285 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.22296 30.50569 93.06068
0 1 1.289418 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.16254 30.77872 92.98248
0 1 1.300733 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.2683 31.08318 92.8529
0 1 1.31183 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.45119 31.36627 92.71644
0 1 1.323357 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.72088 31.62848 92.55073
0 1 1.334322 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.94688 31.91546 92.40029
0 1 1.345204 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 21.14591 32.19759 92.25675
0 1 1.356375 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 21.19034 32.33513 92.16055
0 1 1.367507 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 21.15603 32.3271 92.0719
